# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s); 
# FHN      = Laagste uurgemiddelde windsnelheid (in 0.1 m/s); 
# FHNH     = Uurvak waarin FHN is gemeten; 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TNH      = Uurvak waarin TN is gemeten; 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# TXH      = Uurvak waarin TX is gemeten; 
# DR       = Duur van de neerslag (in 0.1 uur); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# RHX      = Hoogste uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# RHXH     = Uurvak waarin RHX is gemeten; 
# NG       = Etmaalgemiddelde bewolking (bedekkingsgraad van de bovenlucht in achtsten, 9=bovenlucht onzichtbaar); 
# 
# STN,YYYYMMDD,   FG,  FHN, FHNH,   TG,   TN,  TNH,   TX,  TXH,   DR,   RH,  RHX, RHXH,   NG
# 
  344,20110101,   35,   10,   22,   39,  -14,   21,   68,   12,   19,    7,    3,   11,    6
  344,20110102,   28,   10,    3,   17,  -13,   22,   51,   12,    0,   -1,   -1,    2,    4
  344,20110103,   24,   10,    4,   12,  -23,    6,   39,   12,   16,   24,   15,    8,    7
  344,20110104,   55,   30,    1,   13,    2,   24,   28,   13,    0,    0,    0,    1,    7
  344,20110105,   69,   60,    2,   12,   -2,    2,   39,   24,   26,   17,    8,   24,    6
  344,20110106,   36,   20,   10,   48,   21,   24,   61,   13,  162,  203,   31,   18,    8
  344,20110107,   43,   10,    1,   55,    4,    5,   98,   22,   17,   13,    6,    8,    7
  344,20110108,   74,   20,   22,   85,   37,   24,  112,   10,   48,   85,   31,    2,    7
  344,20110109,   50,   30,    1,   37,    7,   24,   62,   12,    0,    0,    0,    1,    2
  344,20110110,   46,   20,    3,   19,  -20,    4,   46,   14,    0,    0,    0,    1,    2
  344,20110111,   66,   40,   14,   40,    6,    4,   64,   14,   67,   42,   12,    8,    7
  344,20110112,   53,   20,    2,   59,   17,    2,   89,   20,  155,  215,   30,   19,    8
  344,20110113,   71,   50,    1,   97,   85,    1,  110,   14,  112,  140,   25,    7,    8
  344,20110114,   97,   80,   18,  100,   78,   22,  116,    5,  118,  137,   27,   15,    7
  344,20110115,   78,   70,    3,   89,   74,    3,   98,   16,    4,    1,    1,   11,    7
  344,20110116,   72,   60,   24,   97,   81,   24,  125,   14,    0,    0,    0,    1,    5
  344,20110117,   50,   20,   22,   78,   22,   24,   94,   18,   10,    6,    4,   15,    8
  344,20110118,   27,   10,    1,   47,   26,    1,   66,   13,   40,   53,   26,    6,    8
  344,20110119,   31,   20,    1,   42,    8,   24,   65,   12,   17,   32,   21,   14,    6
  344,20110120,   29,    0,   24,   25,  -27,   23,   56,   14,    0,   -1,   -1,    4,    1
